question,reply
"انا متزوج ولدي طفل 
ووالدتي ترغب بالذهاب للحج التجاري وانا معها 
وانا ليس لدي مال يكفي للذهاب 
علما ان والدتي لديها اخوه واخوات يذهبون للحج وهي تريد الذهاب معي 
سؤالي هل الامتناع عن ذلك فيه اشكال شرعي 
وعلما ليس لدي بيت اعيش مع اهلي","السلام عليكم ورحمة الله وبركاته 
إن تكفلت وبذلت بما يفي بحجك من المال فالحج وجب عليك ولا يجوز لك ترك الذهاب، وإلّا فلا يجب عليك الحج."
انا اريد اذهب الى الحج ولم توجد عندي سنة خمسية,"السلام عليكم 
عليك مراجعة المعتمد أو وكيل الحاكم الشرعي لحساب الخمس قبل الحج ."
هل يجوز تقديم زيارة قبر النبي - صلى الله عليه واله وسلم - على فريضة الحج ام لا ؟,"السلام عليكم ورحمة الله وبركاته.

يجوز ذلك."
السلام عليكم شخص ظهر اسمه للحج ولكنه توفى فاعطو اولاده المقعد لامراءه على ان تدفع له اجور حج نيابه ووافقت ودفعت له هل حج هذا المرأه فيه اشكال ام لا؟؟جزاكم الله خيرا,"السلام عليكم ورحمة الله وبركاته
يجوز لها الشراء إذا كان وفق القانون. والمال لمن انتقل اليه الحق وهذا ليس من الميراث هو بحسب القانون وباتفاق الورثة.


دمتم برعاية اللَّه"
اسمي طلع بالحج لهذه السنة لكن ليس لدي المبلغ لاذهب .. هل استطيع بيعه إلى شخص آخر واتنازل عن حقي مقابل مبلغ مالي,"السلام عليكم ورحمة الله وبركاته                                                    
يجوز التنازل إذا لم الحج واجبا عليك مباشرة بالفعل.


دمتم برعاية اللَّه"
"السلام عليكم ورحمة الله وبركاته. 
اذا كان اب عنده فلوس الحج وابنه غير متزوج أيهما أولى ان يجح او يزوج ابنه وفلوس تكفي لاحد الأشياء اما الزواج ابن او الحج","عليكم السلام ورحمة الله وبركاته 
إن كان مستطيعاً للحج وجب عليه الحج ولا يجوز له تركه لهذا الأمر، نعم إن كان ترك تزويج أبنه فيه حرج أو ضرر لا يتحمل عادةً جاز له تقديم زواج ابنه."
"السلام عليكم 
اخي توفي قبل شهر ونريد دفع اموال لغرض اداء فريضة الحج عنه، هل يجوز اعطائها هذه السنة بما ان الحج سياتي بعد أشهر قليلة ام الانتظار للسنة القادمة","عليكم السلام ورحمة الله وبركاته 
نعم، يجوز اعطاؤها هذه السنة."
"السلام عليكم 
اذا كان عندي عمل رسمي في السعودية يتزامن مع فترة الحج فهل يجوز لي الحج ويعتبر انا حاج ام لا ؟","عليكم السلام 
إذا امكنك اداء مناسك الحج مع الاستطاعة التامة فهذا يعتبر حجة اسلام صحيحة."
السلام عليكم، هل إن فريضة الحج تجب على المكلف في كل عام، اذا كان مستوفيا الشروط؟ أم أنه يجب عليه الحج مرة واحدة في حياته؟ حتى وإن توفرت شروط الإستطاعة بعد أن أدى فريضة الحج,"عليكم السلام ورحمة الله وبركاته
يجب حجة الاسلام مرة واحدة في العمر."
إذا كان الشخص لا يريد أن يحج بيت الله ولكن ليس لديه فرصة زمنية ليحج بها كونه موظف حكومي ولا يستطيع أخذ إجازة طويلة لإكمال مناسك الحج في هذه الحالة كيف يستطيع الحج؟,مع استطاعتك للحج من دون حرج فيجب عليك الحج فورا الا اذا حصل الوثوق في الحج في سنوات قادمة
"سلام عليكم
سيدنا الجليل 
شخص يروم الذهاب الى دولة الإمارات العربية مع مجموعة من الأصدقاء ، عن طريق شركة مختصة بالسفر ، على اعتبار ذهابهم لغرض التجارة ، والشركة لديها من الموافقات اللازمة على تسهيل خروجهم من دولة الامارات الى المملكة السعودية لأداء مناسك الحج (التجاري) ، فهل تصح هكذا طريقة لبلوغ أو أداء الحج ، يرجى بيان ذلك على رأي الفقهاء المعاصرين ، جزاكم الله خيرا ...","عليكم السلام و رحمة الله و بركاته
يراعى في ذلك الضوابط القانونية و لاريجوز مخالفتها."
عندي مبلع من المال قدره ١٢ مليون هل واجب علي الحج وانا بيتي بعده ماكامل واولادي غير متزوجين او اكمل بيتي وازوج اولادي بهذا المبلغ ولا يجب علي الحج بهذه الحاله,"السلام عليكم ورحمة الله وبركاته 
إن كان إعمار البيت وتزويج الأولاد أو أحد هذين الأمرين بما يستهلك معه هذا المقدار ضرورياً بحيث يلزم من الترك الحرج والمشقة عليك فلا يجب عليك الحج في هذه الحالة."
السلام عليكم زوجي عمره 60سنة وسجل على الحج ولم يطلع اسمه  ونحن مقيمين في الإمارات ولديه مال وهو يشتغل فيه ولديه بيت في مدينه النجف هل واجب علية الحج التجاري علما انه عرفنا يوجد حج تجاري سعره 17000000مليون عراقي وهذا المبلغ لديه هل واجب عليه الحج التجاري,"السلام عليكم ورحمة الله وبركاته. 
إذا أمكنه التقديم على الحج التجاري ولم يكن مجحفاً بحاله فيجب عليه ذلك، ولو تخلّف عن التقديم استقرَ الحج في ذمّته ويجب عليه أداءه ولو متسكّعاً."
أركان الحج,الأركان المتفق عليها بين الفقهاء بخصوص الحج هي: الإحرام، والطواف، والوقوف في عرفات، والوقوف في المشعر الحرام، والسعي بين الصفا والمروة.
"السلام عليكم 
هل يجوز شراء مقعد للحج من شخص حصل عليه في القرعة بموافقته... مع الشكر الجزيل","عليكم السلام ورحمة الله وبركاته 
يجوز مالم يكن مخالفاً للضوابط القانونية."
السلام عليكم   الوالد  مصاب بجلطه وهوه حاليا مقعد  واسمه بالقرعه للحج يسأل اذا طلع اسمي يجوز انيب احد عني يحج,"عليكم السلام ورحمة الله وبركاته
اذا ياس من التمكن في المستقبل فيجب عليه تجهيز من يحج عنه"
الحج أشهر معلومات، والحج عندنا في شهر ذي الحجة، فما المقصود من الآية؟,"السلام عليكم ورحمة الله وبركاته
مرحباً بكم في تطبيقكم المجيب

 جاء في تفسير الأمثل للشيخ مكارم الشيرازي:
والمراد بهذه الأشهر: 
هي شوال، ذي القعدة، ذي الحجة (شهر ذي الحجة بكامله أو العشرة الأوائل منه) وهذه الأشهر تسمى (أشهر الحج) لأن قسما من أعمال الحج والعمرة لا يمكن الإتيان بها في غير هذه الأشهر، وقسما آخر يجب الإتيان بها في اليوم التاسع إلى الثاني عشر من شهر ذي الحجة، والسبب في أن القرآن الكريم لم يصرح بأسماء هذه الأشهر لأنها معلومة للجميع وقد أكد عليها القرآن الكريم بهذه الآية.

ثم أن هذه الآية تستبطن نفيا لأحد التقاليد الخرافية في الجاهلية حيث كانوا يستبدلون هذه الأشهر بغيرها في حالة حدوث حرب بينهم فيقدموا ويؤخروا منها كيف ما شاؤوا، فالقرآن يقول: "" إن هذه الأشهر معلومة ومعينة فلا يصح تقديمها وتأخيرها "".

ودمتم في رعاية الله وحفظه. 
________________________
(مكارم الشيرازي،تفسير الأمثل،ج٢،ص٥٠)."
"اخي سوف يصبح عمره ١٨ السنه القادمه وابي يريد ان يذهب الى الحج واخي سوف يذهب معه لمساعدته واخي يريد ان يحج بدلا عن امي المتوفية فهل يجوز ذلك مع العلم ان اخي لم يحج من قبل 

ارجو الاجابة 

وشكرا لكم","السلام عليكم ورحمة الله وبركاته 

إن كان أخيك مستطيعاً للحج ولو بالبذل فيجب عليه أن يحج عن نفسه ، نعم إن لم يكن مستطيعاً جازت له الإنابة عن أمه وله الأجر والثواب ."
هل يجوز للاخرس ان يحج بيت الله الحرام؟,"السلام عليكم ورحمة الله وبركاته. 
يجوز بل يجب مع تحقق شروط الإستطاعة."
"السلام عليكم.
أريد أن اقدم للحج ان شاء الله ان تم فتح التقديم.
أولا اسألكم الدعاء.
ثانيا. لدي زوجتين واريد ان اقدم معي للزوجه الأولى هل يجب ان اقدم كذلك للزوجه الثانيه.
ثالثاً. هل تسجيل الزوجه للحج ودفع تكاليف حجها من قبل الزوج هو واجب على الزوج ام هو مخير .
يعني إذا اسجل فقط لنفسي هل هنالك اثم علي إذا لم اسجل زوجتي.
حيث ان كلا الزوجتين يطالباني بالتسجيل ودفع مبالغ الحج لهن","عليكم السلام ورحمة الله وبركاته 

نسأل الله لكم التوفيق لحج بيت الله الحرام 

لا يجب عليك ما ذكرت في كلا السؤالين"
"السلام عليكم 
عمتي ام زوجي متمكنه وذهبت للحج بطريقه التجاري لكن ولدها ماعند اطفال صاره 12 سنه فلهل واجب عليها ان تذهب للحج او مساعده ابنها لان ابنها ينفق كل مالديهه على الاطباء الاجل الحصول على الطفل .وراجو منكم الدعاء لنا بلذريه الصالحه","عليكم السلام 
الواجب عليها الحج ولايجب عليها صرف أموالها لأجل الحصول على طفل لولدها"
"السلام عليكم 
بنت راحت للحج بنيابه عن امها والبنت ماحجه قبل يصير","عليكم السلام ورحمة الله وبركاته 
لا يبعد أن يكون الأَولى فيمن عجز عن مباشرة الحجّ وكان موسراً أن يستنيب الصرورة في ذلك، كما أنّ الأَولى فيمن استقرّ عليه الحجّ فمات أن يحجّ عنه الصرورة"
السلام عليكم ورحمة الله وبركاته هل يجوز بيع مقعد الحج وما حكم المبلغ الماخوذ وحكم حجة المشتري وهل يجوز بيع المقعد اذا كان عجوز لايقدر على السفر بمبلغ البيع يؤجر حج بالانابة,"عليكم السلام ورحمة الله وبركاته 
يجوز مالم يكن مخالفا للقانون"
"السلام عليكم
والدتي تسعى بموضوع الذهاب إلى الحج كثيراً و تسأل العديد ممن لديهم اسماء يبيعوها على الناس ان يعطوها...؟
السؤال هو ان والدتي تخاف ان تكون بالغت في طلب الحج قبل أوانه فهل ما تفعله مبالغة او لا؟ و هل لها ان تسعى ام تبقى تنتظر؟","عليكم السلام و رحمة الله و بركاته
لا إشكال في كثرة السعي للحصول على الحج ويكون السعي حسب الاستطاعه والقوانين"
إذا استؤجر لأداء الحجّ عن الغير وبعد ادائه اعمال عمرة التمتّع فسخ المستأجر الاجارة ـ لغبن أو نحوه ـ فما هو تكليف الاجير؟,يجب عليه الإتيان بمناسك حجّ التمتّع أيضاً الا إذا لم يكن متمكّناً منه أو كان حرجياً عليه بحد لا يتحمّل عادة فانه يجوز له في هذه الصورة ان يترك الحجّ والاحوط الاولى عندئذ ان يجعلها عمرة مفردة فيأتي بطواف النساء وصلاته.
هل يجوز او يصح حج النيابه الرجل عن المرأه وبالعكس,"السلام عليكم 
نعم يجوز و لا مانع منه."
"السلام
 عليكم يوجد أشخاص على مواقع التواصل يعلنون عن الحج النيابه عن المتوفي وبأسعار زهيده ٤٠٠ أو ٥٠٠ او٧٠٠ دولار هل هذا الحج مبرء لذمة المتوفي ونحن لا نعلم هل يقومون بأداء الحج أم لا","السلام عليكم 
في مفروض السؤال لاتبرأ ذمة المنوب عنه من دون حصول الاطمئنان بادائه للحج صحيحا.وهناك شروط اخرى ان يكون النائب مؤمن عارف باعمال الحج ولو اجمالاً."
"سلام عليكم ورحمة الله وبركاته 
عند دفع أموال الحج نيابة عن الميت الحجة الاولى هل يسقط الحج من ذمته
وهل يجوز دفع مبلغ واحد عن فردين والأعمال واحدة أو لابد الأفراد كل ميت اعمال حج مستقلة .
جزاكم الله خيرا افيدونا.","عليكم السلام 
1- لا يسقط عنه بمجرد دفع الأموال بل بإتيان الحج فعلاً .
2- لا يجوز ذلك  في الحج الواجب ويجوز في المستحب ."
لو تضارب الإمتحان مع موعد الحج بالنسبة للطالب، فهل يحق له تأخير الحج تلك السنة لأداء الإمتحان، وبخاصة إذا كان الإمتحان مهماً بالنسبة له؟,إذا كان واثقاً من نفسه بأداء الحج في عام لاحق جاز له التأخير، وإلاّ لم يجز، نعم إذا كان تأخير الإمتحان حرجياً عليه بحدّ لا يحتمل عادة، لم يجب عليه أداء الحج في هذه السنة.
السلام عليكم كم مبلغ حج النيابة لهذه السنة,"عليكم السلام ورحمة الله وبركاته  
الى الان لم يحدد ذلك 
ان شآء الله في منتصف شهر شوال"
"السلام عليكم ورحمة الله وبركاته 

هل يحق للزوجه الذهاب لاداء مناسك الحج وعندها ولد غير متزوج علما ان اموال الحج من مالها الخاص حيث تعمل بمدرسه اهليه والاب موجود والابن يعمل اي قادر ان يتزوج في غضون سنه او سنتين","عليكم السلام ورحمة الله وبركاته  

يجب عليها الذهاب مع تحقق الاستطاعة المالية والبدنية"
"إن شاء الله حججت حجة الإسلام 
والآن توجد لي فرصة
فهل يمكن لي الحج نيابة عن اكثر من واحد؟ وأيهما أفضل حج النيابة ام أهداء ثواب الحج للوالدين مثلاً ؟","السلام عليكم ورحمة الله وبركاته. 
يجوز إن لم يكن الحج منجزا عليه ولعل النيابة افضل"
"السلام عليكم
هل يجوز الحج من دون زواج ؟","عليكم السلام 
يجوز ذلك ."
"السلام عليكم ورحمة الله وبركاته. 
هل يجوز احج عن والدي وان كان حيا","عليكم السلام 

تجب الاستنابة في الحج (أي: إرسال شخص للحج عن غيره) في حالات ثلاثة:
الأولى: إذا كان الشخص قادراً على تأمين نفقات الحج ولكنه كان في حالٍ لا يمكنه معها فعل الحج لمرض أو أيّ عائق آخر.
الثانية: إذا كان متمكناً من أدائه بنفسه فتسامح ولم يحج حتّى ضعف عن الحج وعجز عنه لسببٍ من الأسباب بحيث لا يأمل التمكن منه لاحقاً.
الثالثة: إذا كان متمكناً من أداء الحج ولم يحج حتّى مات فيجب أن يُستأجر عنه ــ من تركته ــ من يحج عنه"
هل تصحّ استنابة المرأة عن الرجل في حجّ التمتّع فيما إذا احتمل عدم تمكنها من أداء عمرة التمتّع لطرو الحيض وإنقلاب حجّها إلى حجّ الإفراد؟ ولو أستنيبت وحدث لها ذلك فهل يجزئ عملها عن المنوب عنه؟,إذا لم يحصل الإطمئنان بعدم تمكنها من حجّ التمتّع فالأقرب جواز استنابتها والإجتزاء بعملها ولو في صورة طرو الإنقلاب.
"السلام عليكم ورحمه الله وبركاته 
اريد اذهب الى الحج هل يجوز ان اسجل عدة اسماء في القرعه من عائلتي 
علمن اني ذهبت الى الحج باسم والدي 
والان اريد ان احج نيابه عن والدي 
جزاكم الله خيرا","السلام عليكم ورحمة الله وبركاته.
يجوز  إذا كان ضمن الضوابط القانونية"
"سلام عليكم ورحمة الله 
هل يجوز أن احج  بل نيابه عن والدي ووالدتي المتوفين في حجه واحده","عليكم السلام و رحمة الله و بركاته
يجوز ذلك إذا كان حج مستحب ٠
دمتم في حفظ الله٠"
ظهر اسمي في قرعة الحج لهذا العام ودفعت المبلغ لمؤسسة الحج قبل سنوات وانا الان علي دين واملك مبلغ من المال يكفي لسداد الدين ويفي بتكاليف الحج واردت ايفاء الدين والذهاب للحج ولكن صاحب الدين رفض استلام المبلغ وطلب مني تاجيل الايفاء بالدين لمدة غير محددة  سنة او سنتين او اكثر لتيسير جميع اموري المالية الاخرى فهل يضر ذلك في الاستطاعة أم لا وهل إذا ذهبت والحال هذه يجزي حجي عن حجة الاسلام؟,في مفروض السؤال أنت مستطيعة ويجب عليك الذهاب للحج ويكون مجزياً عن حجة الإسلام
"السلام عليكم
هل تعتبر زوجه وبنات الزوج الغني الذي يملك اموال تكفي لحج افراد العائله .. هل تعتبر هذه النساء مستطيعات للحج؟ 
واذا كان الاب يرفض اعطائهن المال للحج بحجه ان البنات لازالن صغيرات وضعيفات الجسم عمر ١٨و ٢١ هل عليهن اثم؟","عليكم السلام
 الزوجة إذا لم تملك مالاً للحج فلا تعتبر مستطيعة و اموال الزوج او الاب لا يجعلهن مستطيعات ."
"سلام عليكم

 اذا كان شخص مكلف قادر على الحج  ولم يحج لغفلتة عن لله تبارك وتعالى، والآن تأب ولكنه الآن غير قادر على الحج. 

1_ فهل يبقى علية في ذمتة الحج السابق الذي كان قادر علية في حينها؟
2_ إذا كان يبقى، ولا يستطيع الآن فهل علية كفارة ام قضائُه؟
 ‏
 ‏","السلام عليكم ورحمة الله و بركاته 
نعم يبقى الحج في ذمته فان حج في حياته سقط عنه والا اوصى بالقاضاء عنه بعد موته ."
ذكرتم في المناسك إن من أتى بعمرة التمتّع لا يجوز له ترك الحجّ اختياراً وإن كان الحجّ استحبابياً فهل يجوز له العدول من التمتّع إلى الإفراد؟,لا يجوز العدول.
من يكتفى منه بالوقوف في المزدلفة ورمي جمرة العقبة ليلاً ــ كالمرضى والنساء ــ هل يجوز له أن يحصل الهدي فيقصّر أو يحلق ثم ياتي بطواف الحجّ وصلاته إلى آخر الأعمال في الليل نفسه؟,محلّ إشكالٍ بل لابد من التأخير إلى النهار على الأحوط.
إذا أدى الحج لنفسه وقد أوصى بالحج عنه بعد وفاته أيضاً ولا يدري هل أن الموصى به هو حجة الإسلام- كما لو أنكشف لديه بطلان حجته السابقة أو عدم كونه مستطيعاً حينذاك- فيلزم إخراجها من الأصل ، أو أنه حج احتياطي أو استحبابي فيخرج من الثلث فإذا لم يف به توقف تنفيذه على موافقة الورثة فما هو العمل في مثل ذلك ؟,إذا علم استطاعته زماناً ما ولم يعلم أنه أتى بعده بحجة الإسلام أو لا وجب على الورثة إخراجها عنه وتتميمها من الأصل بأن نقص الثلث وإن لم يعلم استطاعته أو علمت وعلم إتيانه بحجة لنفسه بعدها أخرج له حجة من الثلث وإن لم يف بها ضم إليه من الباقي بإجازة الورثة.
هل يستحبّ الذهاب الى الحجّ بالنسبة الى امرأة قد ادّت الحج الواجب عليها سابقاً، مع علمها بما يحصل من اختلاط النساء مع الرّجال في الاعمال كالطواف والسعي وغير ذلك؟,يستحب ولايضر الاختلاط علي النحو المتعارف غير الموجب للاثارة.
